old_url,new_url,confidence,note
/,/,high,
/home-gaeilge/,/ga/,high,
/about-us/,/story,high,confirmed by JM 2026-09-19
/about-irish/,/ga/story,high,confirmed by JM 2026-09-19
/contact/,/contact,high,
/contact-irish/,/ga/contact,high,
/services/,/plan,high,
/seirbhisi/,/ga/plan,high,
/parking-fees/,/plan,high,parking section on /plan has the fee table
/parking-fees-irish/,/ga/plan,high,
/car-hire-airport-transfers/,/plan,high,car hire section
/car-hire-irish/,/ga/plan,high,
/taxis-airport-transfers/,/plan,high,taxi/transfer section
/check-in-information/,/plan,high,check-in & baggage section
/check-in-information-irish/,/ga/plan,high,
/customs-immigration/,/pilots#ppr,high,confirmed by JM 2026-09-19 — this is the GAR (General Aviation Report) section for private/GA flights, not passenger customs
/customs-immigration-2/,/pilots#ppr,high,duplicate of above, confirmed
/custaim-agus-inimirce/,/ga/pilots#ppr,medium,assumed same as EN — CONFIRM
/paisineiri-le-soghluaisteacht-laghdaithe-prm/,/ga/plan,high,PRM section
/prm-assist/,/plan,high,PRM section
/lost-property/,/contact,high,confirmed by JM
/lost-property-2/,/contact,high,duplicate, confirmed
/maoin-caillte/,/ga/contact,high,confirmed by JM — Irish for "lost property"
/help-support/,/contact,high,confirmed by JM
/cabhair-agus-tacaiocht/,/ga/contact,high,confirmed by JM — Irish for "help and support"
/travellers-information/,/plan#checkin,high,confirmed by JM — "Know your cut-offs" section
/exploring-donegal/,/discover,high,
/places-to-see/,/discover,high,
/places-to-see-irish/,/ga/discover,high,
/activities/,/discover,high,activities grid
/sports-activities/,/discover,high,
/destination/,/discover,high,JM left this to Claude's judgement — generic WP Travel Engine plugin boilerplate, links out to WAW/golf/places-to-see topics /discover now covers
/golf-in-donegal/,/discover,high,golf panel section (#golf-panel)
/galf-i-ndun-na-ngall/,/ga/discover,high,
/angling-fishing/,/discover,high,
/angling-and-fishing-irish/,/ga/discover,high,
/family-fun/,/discover,high,checked the live old page — real content about blue-flag beaches/Tory Island/Glenveagh, matches /discover
/family-fun-irish/,/ga/discover,high,
/islands/,/discover,high,islands section
/islands-irish/,/ga/discover,high,
/drones/,/pilots,high,Pilots & Drones page
/drones-irish/,/ga/pilots,high,
/aerodrome-technical-details/,/pilots,high,aerodrome data section
/aerodrome-technical-details-irish/,/ga/pilots,high,
/bealai-bus/,/ga/plan,high,bus section
/news/,/news,high,
/news-main-page/,/news,high,duplicate
/news-gae/,/ga/news,high,
/careers-at-the-airport/,/contact,medium,decided by JM — no careers page on new site yet
/new-year-new-career-we-are-hiring/,/news,medium,decided by JM — reads more like a news announcement than a structural page, sent to the news listing instead of contact
/jobs/,/contact,medium,decided by JM
/terms-and-conditions/,/terms,high,
/terms-conditions/,/terms,high,duplicate
/privacy-policy/,/privacy,high,
/privacy-policy-irish/,/ga/privacy,high,
/security-policy/,/security,high,
/safety-policy/,/safety,high,
/environmental-policy/,/environmental,high,
/environmental-policy-irish/,/ga/environmental,high,
/quality-policy/,/quality,high,
/quality-policy-irish/,/ga/quality,high,
/raiteas-beartas-teanga-2/,/language-policy,high,"translated by Claude: ""ráiteas beartas teanga"" = language policy statement — matches"
/fees-and-charges/,/pilots#fees,high,confirmed by JM
/fees-charges-irish/,/ga/pilots#fees,high,confirmed by JM
/new-10kg-carry-on-baggage-policy/,/plan#checkin,high,confirmed by JM — Know your cut-offs section
/magazine-takeoff/,/,high,confirmed by JM — no equivalent on new site
